n k p r time
2 1 0 0 0.0002
2 1 0 1 0.0001
2 1 1 0 0.0001
2 1 1 1 0.0001
4 1 0 0 0.0003
4 1 0 1 0.0001
4 1 1 0 0.0002
4 1 1 1 0.0001
4 2 0 0 0.0003
4 2 0 1 0.0002
4 2 1 0 0.0002
4 2 1 1 0.0001
8 1 0 0 0.0004
8 1 0 1 0.0002
8 1 1 0 0.0004
8 1 1 1 0.0002
8 2 0 0 0.0004
8 2 0 1 0.0002
8 2 1 0 0.0004
8 2 1 1 0.0002
8 4 0 0 0.0005
8 4 0 1 0.0002
8 4 1 0 0.0005
8 4 1 1 0.0002
16 1 0 0 0.0008
16 1 0 1 0.0003
16 1 1 0 0.0006
16 1 1 1 0.0003
16 2 0 0 0.0009
16 2 0 1 0.0004
16 2 1 0 0.0007
16 2 1 1 0.0003
16 4 0 0 0.0011
16 4 0 1 0.0004
16 4 1 0 0.0009
16 4 1 1 0.0004
16 8 0 0 0.0013
16 8 0 1 0.0006
16 8 1 0 0.001
16 8 1 1 0.0005
32 1 0 0 0.0014
32 1 0 1 0.0006
32 1 1 0 0.001
32 1 1 1 0.0004
32 2 0 0 0.0017
32 2 0 1 0.0007
32 2 1 0 0.0014
32 2 1 1 0.0005
32 4 0 0 0.0023
32 4 0 1 0.0009
32 4 1 0 0.0017
32 4 1 1 0.0008
32 8 0 0 0.0029
32 8 0 1 0.0011
32 8 1 0 0.0036
32 8 1 1 0.001
32 16 0 0 0.0043
32 16 0 1 0.0018
32 16 1 0 0.0037
32 16 1 1 0.0014
64 1 0 0 0.0029
64 1 0 1 0.0013
64 1 1 0 0.002
64 1 1 1 0.0008
64 2 0 0 0.0035
64 2 0 1 0.0013
64 2 1 0 0.0024
64 2 1 1 0.0011
64 4 0 0 0.0048
64 4 0 1 0.0018
64 4 1 0 0.0037
64 4 1 1 0.0015
64 8 0 0 0.0064
64 8 0 1 0.0025
64 8 1 0 0.0057
64 8 1 1 0.0021
64 16 0 0 0.0102
64 16 0 1 0.0036
64 16 1 0 0.0089
64 16 1 1 0.0035
64 32 0 0 0.0132
64 32 0 1 0.0057
64 32 1 0 0.0123
64 32 1 1 0.0053
128 1 0 0 0.0079
128 1 0 1 0.0029
128 1 1 0 0.0045
128 1 1 1 0.0018
128 2 0 0 0.0104
128 2 0 1 0.0039
128 2 1 0 0.0054
128 2 1 1 0.0021
128 4 0 0 0.0158
128 4 0 1 0.0058
128 4 1 0 0.0079
128 4 1 1 0.0031
128 8 0 0 0.0178
128 8 0 1 0.0069
