n k p r time
#run1
2 1 0 0 0.0001
2 1 0 1 0.0
2 1 1 0 0.0001
2 1 1 1 0.0
4 1 0 0 0.0002
4 1 0 1 0.0001
4 1 1 0 0.0001
4 1 1 1 0.0
4 2 0 0 0.0003
4 2 0 1 0.0001
4 2 1 0 0.0002
4 2 1 1 0.0001
8 1 0 0 0.0004
8 1 0 1 0.0002
8 1 1 0 0.0003
8 1 1 1 0.0001
8 2 0 0 0.0005
8 2 0 1 0.0002
8 2 1 0 0.0003
8 2 1 1 0.0001
8 4 0 0 0.0006
8 4 0 1 0.0003
8 4 1 0 0.0004
8 4 1 1 0.0001
16 1 0 0 0.001
16 1 0 1 0.0004
16 1 1 0 0.0005
16 1 1 1 0.0002
16 2 0 0 0.0011
16 2 0 1 0.0005
16 2 1 0 0.0007
16 2 1 1 0.0002
16 4 0 0 0.0012
16 4 0 1 0.0007
16 4 1 0 0.001
16 4 1 1 0.0004
16 8 0 0 0.0022
16 8 0 1 0.0005
16 8 1 0 0.0013
16 8 1 1 0.0005
32 1 0 0 0.0017
32 1 0 1 0.0007
32 1 1 0 0.001
32 1 1 1 0.0004
32 2 0 0 0.002
32 2 0 1 0.001
32 2 1 0 0.0014
32 2 1 1 0.0005
32 4 0 0 0.0034
32 4 0 1 0.0014
32 4 1 0 0.0019
32 4 1 1 0.0007
32 8 0 0 0.005
32 8 0 1 0.0017
32 8 1 0 0.0028
32 8 1 1 0.001
32 16 0 0 0.006
32 16 0 1 0.0028
32 16 1 0 0.0042
32 16 1 1 0.0015
64 1 0 0 0.0036
64 1 0 1 0.0014
64 1 1 0 0.002
64 1 1 1 0.0008
64 2 0 0 0.005
64 2 0 1 0.0014
64 2 1 0 0.0026
64 2 1 1 0.001
64 4 0 0 0.0074
64 4 0 1 0.0023
64 4 1 0 0.0039
64 4 1 1 0.0015
64 8 0 0 0.0134
64 8 0 1 0.0054
64 8 1 0 0.0067
64 8 1 1 0.0026
64 16 0 0 0.0219
64 16 0 1 0.01
64 16 1 0 0.0101
64 16 1 1 0.0043
64 32 0 0 0.0321
64 32 0 1 0.013
64 32 1 0 0.0148
64 32 1 1 0.0055
128 1 0 0 0.0076
128 1 0 1 0.0031
128 1 1 0 0.0044
128 1 1 1 0.0016
128 2 0 0 0.0107
128 2 0 1 0.0042
128 2 1 0 0.0067
128 2 1 1 0.0021
128 4 0 0 0.0154
128 4 0 1 0.006
128 4 1 0 0.0092
128 4 1 1 0.0029
128 8 0 0 0.0274
128 8 0 1 0.0099
128 8 1 0 0.0127
128 8 1 1 0.0047
128 16 0 0 0.0433
128 16 0 1 0.018
128 16 1 0 0.0219
128 16 1 1 0.0078
128 32 0 0 0.0757
128 32 0 1 0.0278
128 32 1 0 0.0372
128 32 1 1 0.0138
128 64 0 0 0.1371
128 64 0 1 0.0384
128 64 1 0 0.0639
128 64 1 1 0.0239
256 1 0 0 0.0152
256 1 0 1 0.0061
256 1 1 0 0.0093
256 1 1 1 0.0034
256 2 0 0 0.0219
256 2 0 1 0.0079
256 2 1 0 0.0115
256 2 1 1 0.0045
256 4 0 0 0.0314
256 4 0 1 0.0123
256 4 1 0 0.019
256 4 1 1 0.0066
256 8 0 0 0.0587
256 8 0 1 0.0224
256 8 1 0 0.0293
256 8 1 1 0.0099
256 16 0 0 0.1002
256 16 0 1 0.0394
256 16 1 0 0.0488
256 16 1 1 0.0179
256 32 0 0 0.1825
256 32 0 1 0.0653
256 32 1 0 0.0846
256 32 1 1 0.0327
256 64 0 0 0.3216
256 64 0 1 0.1201
256 64 1 0 0.1531
256 64 1 1 0.055
256 128 0 0 0.3777
256 128 0 1 0.1975
256 128 1 0 0.2458
256 128 1 1 0.0866
512 1 0 0 0.0331
512 1 0 1 0.0115
512 1 1 0 0.0203
512 1 1 1 0.0062
512 2 0 0 0.0425
512 2 0 1 0.0158
512 2 1 0 0.0246
512 2 1 1 0.0084
512 4 0 0 0.0688
512 4 0 1 0.0267
512 4 1 0 0.0353
512 4 1 1 0.0131
512 8 0 0 0.1119
512 8 0 1 0.0461
512 8 1 0 0.0575
512 8 1 1 0.0214
512 16 0 0 0.1948
512 16 0 1 0.0757
512 16 1 0 0.0979
512 16 1 1 0.0355
512 32 0 0 0.357
512 32 0 1 0.1523
512 32 1 0 0.1914
512 32 1 1 0.0668
512 64 0 0 0.6595
512 64 0 1 0.2867
512 64 1 0 0.3406
512 64 1 1 0.1213
512 128 0 0 1.2914
512 128 0 1 0.5258
512 128 1 0 0.5804
512 128 1 1 0.2298
512 256 0 0 1.7143
512 256 0 1 0.356
512 256 1 0 0.9308
512 256 1 1 0.3402
1024 1 0 0 0.0662
1024 1 0 1 0.0237
1024 1 1 0 0.0391
1024 1 1 1 0.013
1024 2 0 0 0.0843
1024 2 0 1 0.032
1024 2 1 0 0.0497
1024 2 1 1 0.0166
1024 4 0 0 0.1354
1024 4 0 1 0.0499
1024 4 1 0 0.0711
1024 4 1 1 0.0241
1024 8 0 0 0.2242
1024 8 0 1 0.0884
